t,S,I,R,Re
13.4,684.5067631348135,131.3566758335445,184.13656103164192,1.369013526269627
13.5,680.0110364852651,132.56848558725432,187.42047792748053,1.3600220729705301
13.6,675.5036348207916,133.7616751120465,190.7346900671619,1.3510072696415831
13.7,670.9858099338963,134.9354581211406,194.07873194496307,1.3419716198677927
13.8,666.4588210510856,136.08906055092285,197.45211839799157,1.3329176421021711
13.9,661.9239333084497,137.22172177978567,200.85434491176463,1.3238478666168993
14.0,657.382416217658,138.3326958260827,204.28488795625927,1.314764832435316
14.1,652.8355421264554,139.42125252163325,207.74320535191134,1.3056710842529107
14.2,648.2845846777599,140.4866786572879,211.22873666495218,1.2965691693555197
14.3,643.730817271455,141.5282790971606,214.74090363138438,1.28746163454291
14.4,639.1755115329431,142.54537785824348,218.2791106088134,1.2783510230658863
14.5,634.6199357924831,143.53731915224736,221.8427450552695,1.2692398715849662
14.6,630.0653535792719,144.5034683866524,225.43117803407569,1.260130707158544
14.7,625.5130221341485,145.44321312210946,229.043764743742,1.251026044268297
14.8,620.964190944703,146.3559639835023,232.67984507179474,1.241928381889406
14.9,616.4201003064557,147.24115552216213,236.3387441713823,1.2328402006129113
15.0,611.8819799136452,148.09824702691856,240.01977305943635,1.2237639598272902
15.1,607.3510474830166,148.92672328187413,243.7222292351093,1.2147020949660332
15.2,602.8285074138436,149.72609526900027,247.44539731715614,1.2056570148276873
15.3,598.3155494872478,150.49590081387097,251.18854969888113,1.1966310989744957
15.4,593.8133476076964,151.23570517307567,254.9509472192279,1.1876266952153929
15.5,589.3230585893647,151.9451015620805,258.7318398485548,1.1786461171787292
15.6,584.8458209898529,152.62371162254036,262.5304673876068,1.1696916419797057
15.7,580.3827539935327,153.271185828297,266.3460601781703,1.1607655079870653
15.8,575.9349563465886,153.88720382953366,270.1778398238777,1.1518699126931773
15.9,571.5035053455955,154.47147473478836,274.02501991961606,1.1430070106911911
16.0,567.0894558812538,155.0237373307604,277.8868067879858,1.1341789117625076
16.1,562.6938395386749,155.54376024007036,281.7624002212548,1.1253876790773498
16.2,558.3176637553864,156.03134201735702,285.65099422725655,1.1166353275107728
16.3,553.961911037999,156.48631118431052,289.55177777769046,1.107923822075998
16.4,549.6275382382516,156.90852620445014,293.4639355572982,1.0992550764765032
16.5,545.3154758889344,157.2978753986561,297.38664871240945,1.090630951777869
16.6,541.0266275999676,157.6542768026565,301.31909559737585,1.0820532551999353
16.7,536.7618695147049,157.97767796785274,305.2604525174423,1.07352373902941
16.8,532.5220498263241,158.26805570703726,309.2098944666386,1.0650440996526482
16.9,528.3079883539672,158.52541578671824,313.16659585931455,1.0566159767079344
17.0,524.1204761781044,158.74979256791315,317.1297312539825,1.0482409523562086
17.1,519.9602753344109,158.94124859740882,321.09847606818033,1.0399205506688218
17.2,515.8281185652756,159.0998741516088,325.07200728311557,1.0316562371305513
17.3,511.72470912789584,159.2257867351984,329.0495041369058,1.0234494182557916
17.4,507.65072065775934,159.31913053695493,333.03014880528576,1.0153014413155186
17.5,503.6067970861767,159.3800758451137,337.01312706870965,1.0072135941723532
17.6,499.5935526103912,159.40881842477134,340.9976289648375,0.9991871052207825
17.7,495.6115717146784,159.40557885986487,344.9828494254568,0.9912231434293568
17.8,491.6614092407371,159.37060186230954,348.9679888969534,0.9833228184814742
17.9,487.7435905055787,159.30415555091017,352.95225394351115,0.9754871810111574
18.0,483.8586114650357,159.20653070268042,356.9348578322839,0.9677172229300713
18.1,480.0069389209375,159.07803997921164,360.91502109985095,0.9600138778418749
18.2,476.18901076993933,158.91901713072954,364.8919720993312,0.9523780215398786
18.3,472.40523629193865,158.72981618046197,368.86494752759944,0.9448104725838773
18.4,468.65599647597327,158.51081059191577,372.833192932111,0.9373119929519466
18.5,464.94164438146487,158.26239242162632,376.7959631969089,0.9298832887629297
18.6,461.2625055326521,157.98497145989845,380.75252300744955,0.922525011065304
18.7,457.61887834404723,157.67897436200585,384.702147293947,0.9152377566880945
18.8,454.0110345747482,157.34484377225473,388.64412165299717,0.9080220691494963
18.9,450.439219809446,156.98303744325054,392.57774274730355,0.9008784396188919
19.0,446.9036539639833,156.59402735263203,396.50231868338483,0.8938073079279665
19.1,443.4045318133419,156.17829881945758,400.41716936720064,0.8868090636266837
19.2,439.9420235399696,155.73634962234343,404.32162683768706,0.8798840470799392
19.3,436.51627530039053,155.26868912136393,408.21503557824565,0.873032550600781
19.4,433.12740980808894,154.77583738563143,412.09675280627977,0.8662548196161777
19.5,429.7755269307031,154.25832432837646,415.9661487409206,0.8595510538614061
19.6,426.46070429961935,153.7166888512508,419.82260684913,0.8529214085992386
19.7,423.18299793011386,153.15147799947502,423.66552407041127,0.8463659958602276
19.8,419.94244285025155,152.56324612935043,427.49431102039813,0.8398848857005031
19.9,416.7390537368154,151.95255408955285,431.3083921736319,0.8334781074736307
20.0,413.57282555660674,151.31996841752266,435.1072060258707,0.8271456511132134
20.1,410.4437342115282,150.66606055216317,438.89020523630876,0.8208874684230564
20.2,407.35173718592966,149.99140606395758,442.65685675011287,0.8147034743718592
20.3,404.296774194774,149.29658390351432,446.4066419017118,0.808593548389548
20.4,401.27876783124947,148.58217566945098,450.13905649929967,0.802557535662499
20.5,398.29762421253326,147.84876489643088,453.85361089103594,0.7965952484250665
20.6,395.35323362248295,147.0969363640704,457.5498300134467,0.7907064672449658
20.7,392.4454711501082,146.3272754273434,461.2272534225485,0.7848909423002164
20.8,389.57419732274843,145.5403673690196,464.88543530823205,0.7791483946454969
20.9,386.7392587329563,144.7367967745863,468.52394449245753,0.7734785174659125
