t,prey,predator
150.32,42.13237651990081,8.514265633454778
150.33,42.10276364732888,8.524595461100331
150.34,42.07308460539865,8.53491257750581
150.35,42.04333967020943,8.545216849670602
150.36,42.013529118966375,8.555508144578221
150.37,41.983653229973385,8.565786329200465
150.38,41.953712282625915,8.576051270501583
150.39,41.923706557403804,8.586302835442446
150.4,41.89363633586399,8.596540890984727
150.41,41.863501900633196,8.606765304095102
150.42,41.833303535400574,8.616975941749446
150.43,41.803041524910284,8.627172670937043
150.44,41.77271615495405,8.637355358664808
150.45,41.742327712363604,8.64752387196151
150.46,41.71187648500319,8.657678077882016
150.47,41.68136276176188,8.667817843511523
150.48,41.65078683254599,8.677943035969816
150.49,41.6201489882713,8.688053522415522
150.5,41.589449520855375,8.698149170050376
150.51,41.55868872320969,8.708229846123492
150.52,41.52786688923186,8.718295417935643
150.53,41.49698431379768,8.72834575284354
150.54,41.46604129275325,8.738380718264125
150.55,41.43503812290694,8.748400181678866
150.56,41.403975102021384,8.75840401063806
150.57,41.372852528805424,8.768392072765137
150.58,41.34167070290598,8.778364235760966
150.59,41.310429924899886,8.788320367408183
150.6,41.27913049628571,8.798260335575497
150.61,41.24777271947549,8.808184008222023
150.62,41.216356897786476,8.818091253401603
150.63,41.18488333543277,8.827981939267143
150.64,41.153352337517,8.837855934074945
150.65,41.12176421002187,8.84771310618904
150.66,41.09011925980177,8.857553324085536
150.67,41.058417794574225,8.867376456356952
150.68,41.02666012291142,8.87718237171657
150.69,40.99484655423163,8.886970939002772
150.7,40.96297739879059,8.896742027183397
150.71,40.931052967672905,8.906495505360084
150.72,40.89907357278333,8.916231242772627
150.73,40.86703952683809,8.92594910880332
150.74,40.83495114335613,8.93564897298131
150.75,40.80280873665031,8.945330704986954
150.76,40.77061262181863,8.95499417465616
150.77,40.738363114735336,8.964639251984748
150.78,40.70606053204208,8.97426580713279
150.79,40.673705191138964,8.98387371042897
150.8,40.64129741017562,8.993462832374924
150.81,40.608837508042214,9.00303304364959
150.82,40.57632580436044,9.01258421511355
150.83,40.543762619474464,9.022116217813378
150.84,40.51114827444187,9.031628922985972
150.85,40.47848309102455,9.041122202062896
150.86,40.44576739167956,9.050595926674717
150.87,40.413001499549964,9.06004996865533
150.88,40.38018573845566,9.06948420004629
150.89,40.34732043288414,9.078898493101137
150.9,40.31440590798127,9.088292720289711
150.91,40.28144248954199,9.097666754302473
150.92,40.248430504001036,9.107020468054811
150.93,40.215370278423634,9.116353734691348
150.94,40.182262140496114,9.125666427590245
150.95,40.14910641851658,9.13495842036749
150.96,40.115903441385484,9.144229586881194
150.97,40.08265353859623,9.153479801235868
150.98,40.049357040225736,9.162708937786707
150.99,40.01601427692494,9.171916871143855
151.0,39.982625579909374,9.18110347617667
151.01,39.949191280949606,9.190268628017977
151.02,39.915711712361755,9.199412202068324
151.03,39.882187206997926,9.208534074000212
151.04,39.84861809823666,9.21763411976234
151.05,39.815004719973366,9.226712215583822
151.06,39.78134740661068,9.235768237978402
151.07,39.7476464930489,9.244802063748663
151.08,39.713902314676325,9.253813569990227
151.09,39.68011520735964,9.262802634095937
151.1,39.64628550743421,9.271769133760046
151.11,39.61241355169443,9.280712946982373
151.12,39.57849967738404,9.28963395207247
151.13,39.544544222186396,9.298532027653764
151.14,39.510547524214786,9.307407052667699
151.15,39.47650992200267,9.31625890637786
151.16,39.44243175449396,9.325087468374083
151.17,39.408313361033244,9.333892618576563
151.18,39.37415508135606,9.342674237239944
151.19,39.33995725557908,9.351432204957392
151.2,39.30572022419037,9.360166402664667
151.21,39.27144432803956,9.368876711644173
151.22,39.23712990832808,9.377563013529
151.23,39.20277730659933,9.38622519030695
151.24,39.16838686472889,9.39486312432455
151.25,39.13395892491467,9.403476698291048
151.26,39.099493829667125,9.412065795282405
151.27,39.06499192179938,9.420630298745264
151.28,39.03045354441743,9.429170092500902
151.29,38.995879040910296,9.437685060749176
151.3,38.96126875494017,9.446175088072447
151.31,38.92662303043259,9.454640059439491
151.32,38.89194221156657,9.463079860209396
151.33,38.8572266427648,9.471494376135437
151.34,38.822476668683734,9.479883493368948
151.35,38.787692634203786,9.488247098463157
151.36,38.75287488441948,9.496585078377024
151.37,38.71802376462958,9.504897320479051
151.38,38.683139620327275,9.513183712551081
151.39,38.648222797190314,9.521444142792072
151.4,38.61327364107118,9.529678499821859
151.41,38.57829249798724,9.537886672684898
151.42,38.54327971411093,9.546068550853994
151.43,38.50823563575991,9.554224024233996
151.44,38.473160609387264,9.562352983165498
151.45,38.43805498157165,9.5704553184285
151.46,38.40291909900754,9.578530921246058
151.47,38.36775330849536,9.586579683287916
151.48,38.33255795693173,9.594601496674114
